Player,Age,Points,PlayoffPoints,CumePoints,CumePlayoffs
Kareem Abdul-Jabbar,21,0,0,0,0
Kareem Abdul-Jabbar,22,2361,352,2361,2713
Kareem Abdul-Jabbar,23,2596,372,4957,5681
Kareem Abdul-Jabbar,24,2822,316,7779,8819
Kareem Abdul-Jabbar,25,2292,137,10071,11248
Kareem Abdul-Jabbar,26,2191,515,12262,13954
Kareem Abdul-Jabbar,27,1949,0,14211,15903
Kareem Abdul-Jabbar,28,2275,0,16486,18178
Kareem Abdul-Jabbar,29,2152,381,18638,20711
Kareem Abdul-Jabbar,30,1600,81,20238,22392
Kareem Abdul-Jabbar,31,1903,228,22141,24523
Kareem Abdul-Jabbar,32,2034,479,24175,27036
Kareem Abdul-Jabbar,33,2095,80,26270,29211
Kareem Abdul-Jabbar,34,1818,285,28088,31314
Kareem Abdul-Jabbar,35,1722,406,29810,33442
Kareem Abdul-Jabbar,36,1717,502,31527,35661
Kareem Abdul-Jabbar,37,1735,416,33262,37812
Kareem Abdul-Jabbar,38,1846,362,35108,40020
Kareem Abdul-Jabbar,39,1366,345,36474,41731
Kareem Abdul-Jabbar,40,1165,338,37639,43234
Kareem Abdul-Jabbar,41,748,167,38387,44149
Karl Malone,21,0,0,0,0
Karl Malone,22,1203,87,1203,1290
Karl Malone,23,1779,100,2982,3169
Karl Malone,24,2268,327,5250,5764
Karl Malone,25,2326,92,7576,8182
Karl Malone,26,2540,126,10116,10848
Karl Malone,27,2382,267,12498,13497
Karl Malone,28,2272,465,14770,16234
Karl Malone,29,2217,120,16987,18571
Karl Malone,30,2063,434,19050,21068
Karl Malone,31,2187,151,21237,23406
Karl Malone,32,2106,477,23343,25989
Karl Malone,33,2249,519,25592,28757
Karl Malone,34,2190,526,27782,31473
Karl Malone,35,1164,240,28946,32877
Karl Malone,36,2095,272,31041,35244
Karl Malone,37,1878,138,32919,37260
Karl Malone,38,1788,80,34707,39128
Karl Malone,39,1667,98,36374,40893
Karl Malone,40,554,242,36928,41689
Kobe Bryant,17,0,0,0,0
Kobe Bryant,18,539,74,539,613
Kobe Bryant,19,1220,96,1759,1929
Kobe Bryant,20,996,158,2755,3083
Kobe Bryant,21,1485,465,4240,5033
Kobe Bryant,22,1938,471,6178,7442
Kobe Bryant,23,2019,506,8197,9967
Kobe Bryant,24,2461,385,10658,12813
Kobe Bryant,25,1557,539,12215,14909
Kobe Bryant,26,1819,0,14034,16728
Kobe Bryant,27,2832,195,16866,19755
Kobe Bryant,28,2430,164,19296,22349
Kobe Bryant,29,2323,633,21619,25305
Kobe Bryant,30,2201,695,23820,28201
Kobe Bryant,31,1970,671,25790,30842
Kobe Bryant,32,2078,228,27868,33148
Kobe Bryant,33,1616,360,29484,35124
Kobe Bryant,34,2133,0,31617,37257
Kobe Bryant,35,83,0,31700,37340
Kobe Bryant,36,782,0,32482,38122
Kobe Bryant,37,1161,0,33643,39283
Michael Jordan,20,0,0,0,0
Michael Jordan,21,2313,117,2313,2430
Michael Jordan,22,408,131,2721,2969
Michael Jordan,23,3041,107,5762,6117
Michael Jordan,24,2868,363,8630,9348
Michael Jordan,25,2633,591,11263,12572
Michael Jordan,26,2753,587,14016,15912
Michael Jordan,27,2580,529,16596,19021
Michael Jordan,28,2404,759,19000,22184
Michael Jordan,29,2541,666,21541,25391
Michael Jordan,30,0,0,21541,25391
Michael Jordan,31,457,315,21998,26163
Michael Jordan,32,2491,552,24489,29206
Michael Jordan,33,2431,590,26920,32227
Michael Jordan,34,2357,680,29277,35264
Michael Jordan,35,0,0,29277,35264
Michael Jordan,36,0,0,29277,35264
Michael Jordan,37,0,0,29277,35264
Michael Jordan,38,1375,0,30652,36639
Michael Jordan,39,1640,0,32292,38279
LeBron James,18,0,0,0,0
LeBron James,19,1654,0,1654,1654
LeBron James,20,2175,0,3829,3829
LeBron James,21,2478,400,6307,6707
LeBron James,22,2132,501,8439,9340
LeBron James,23,2250,366,10689,11956
LeBron James,24,2304,494,12993,14754
LeBron James,25,2258,320,15251,17332
LeBron James,26,2111,497,17362,19940
LeBron James,27,1683,697,19045,22320
LeBron James,28,2036,596,21081,24952
LeBron James,29,2089,548,23170,27589
LeBron James,30,1743,601,24913,29933
LeBron James,31,1920,552,26833,32405
LeBron James,32,1954,591,28787,34950
LeBron James,33,2251,748,31038,37949
LeBron James,34,1505,0,32543,39454
LeBron James,35,1698,580,34241,41732
LeBron James,36,1126,140,35367,42998
LeBron James,37,1695,0,37062,44693
LeBron James,38,1590,0,38652,46283
Kevin Durant,18,0,0,0,0
Kevin Durant,19,1624,0,1624,1624
Kevin Durant,20,1871,0,3495,3495
Kevin Durant,21,2472,150,5967,6117
Kevin Durant,22,2161,487,8128,8765
Kevin Durant,23,1850,570,9978,11185
Kevin Durant,24,2280,339,12258,13804
Kevin Durant,25,2593,563,14851,16960
Kevin Durant,26,686,0,15537,17646
Kevin Durant,27,2029,511,17566,20186
Kevin Durant,28,1555,428,19121,22169
Kevin Durant,29,1792,608,20913,24569
Kevin Durant,30,2027,387,22940,26983
Kevin Durant,31,0,0,22940,26983
Kevin Durant,32,943,411,23883,28337
Kevin Durant,33,1643,105,25526,30085
Kevin Durant,34,1366,0,26892,31451
Luka Doncic,18,0,0,0,0
Luka Doncic,19,1526,0,1526,1526
Luka Doncic,20,1759,186,3285,3471
Luka Doncic,21,1830,250,5115,5551
Luka Doncic,22,1847,475,6962,7873
Luka Doncic,23,2138,0,9100,10011
